vlan.vid,prefix,vlan_group,status,description,is_pool
,10.103.0.0/28,,active,Ivry - vlan 293,True
,10.103.0.16/28,,active,Paris/cji - vlan 284,True
,10.103.0.64/28,,active,Paris/cji/pool 2 - vlan 284,True
,10.103.0.80/28,,active,RXTX_VRFRXTX_RMV - vlan 289,True
,10.103.0.96/28,,active,Orange,True
,10.103.0.112/28,,active,sj-qbrick1-sw-1,True
,10.103.0.128/28,,active,Coresite/us,True
,10.103.0.160/28,,active,RXTX_VRFRXTX_ITX2 - vlan 332,True
,10.103.0.176/28,,active,Ivry - sj-whatfilms-fr-1,True
,10.103.0.192/28,,active,Ivry/lab - vlan 335,True
,10.103.0.224/28,,active,Canal/Reunion,True
,10.103.254.0/24,,active,INTERCOS,True
,10.103.254.0/29,,active,RMV RO  SW,True
,10.103.254.8/31,,active,OSL1  STO2,True
,10.103.254.10/31,,active,CPH  STO1,True
,10.8.2.0/24,,active,CPW_DMZ - vlan82 - cpw - ITX,True
,10.8.3.0/24,,active,CPW_ENCODE - vlan83 - cpw - ITX,True
,10.8.5.0/24,,active,VMS2 - vlan85 - vms2 - ITX,True
,10.37.1.0/24,,active,ATEME_DRIVERS_PROD - vlan1331 - prod.drivers.c4m - ITX,True
,10.37.2.0/24,,active,TRANSFO_MONIT - vlan2900 - tools.transform - RMV,True
,10.37.5.0/24,,active,TRANSCO_DC - vlan2954 - transco.media.tvvideoms.com - RMV,True
,10.37.6.128/25,,active,ADMIN_COMMON - vlan1792 - admin.media - RMV,True
,10.37.11.0/24,,active,KARAJAN_PROD_INTERNAL - vlan346 - karajan.transform.c4m - ITX,True
,10.37.12.0/24,,active,KARAJAN_PROD_INTERNAL_RMV - vlan2637 - prod.karajan.media - RMV,True
,10.37.16.0/21,,active,VRF STORE - COMMON,True
,10.37.16.0/25,,active,KARAJAN_PREPROD_STORE- vlan1790 - store.karajan.transform.c4m - RMV,True
,10.37.16.128/25,,active,KARAJAN_PROD_STORE- vlan2639 - prod.karajan.store - RMV,True
,10.37.17.0/24,,active,KARAJAN_PROD_STORE - vlan2887 - store.karajan.transform.c4m - ITX,True
,10.37.19.0/25,,active,STORAGE_NAS_CES - vlan2030 - nas-ces.store - CES,True
,10.37.19.128/29,,active,INTERCO NI-33_NI-34 - vlan4016 - RMV/ITX,True
,10.37.19.136/29,,active,INTERCO VRF STORE DSI CORE | BACKBONE  - vlan2112 - ITX,True
,10.37.19.144/29,,active,INTERCO VRF STORE DSI CORE | BACKBONE  - vlan2624 - RMV,True
,10.37.19.152/31,,active,INT1 BROADPEAK - vlan2906 - ITX,True
,10.37.19.154/31,,active,INT2 BROADPEAK - vlan2907 - ITX,True
,10.37.19.156/31,,active,INT3 BROADPEAK - vlan2908 - ITX,True
,10.37.19.160/27,,active,LAN BROADPEAK - vlan2905 - ITX,True
,10.37.19.192/28,,active,Interco_VRF_STORE_BPM-PP-TF1,True
,10.37.20.128/25,,active,TRANSCO_DC_STORE - vlan1506 - ateme.transco.store -RMV,True
,10.37.21.0/24,,active,VODMANAGER_DMZ_ITX - vlan347 - prod.vodmanager - ITX,True
,10.37.22.0/28,,active,VMS PreProd DC - VRF Storage Zone,True
,10.37.22.16/28,,active,VMS Prod DC - VRF Storage Zone,True
,10.37.23.0/24,,active,VODMANAGER_INTERNAL_ITX - vlan348 - prod.vodmanager - ITX,True
,10.37.31.0/24,,active,VODMANAGER_DMZ_RMV - vlan347 - prod.vodmanager - RMV,True
,10.37.33.0/24,,active,VODMANAGER_INTERNAL_RMV - vlan348 - prod.vodmanager - RMV,True
,10.37.34.0/27,,active,PROXMOX_STORE - vlan -  - CJI,True
