vid,description,group,status,name
308,Wibox - TX,ZZ_contrib TDF,active,Wibox_-_TX
309,NBC Universal Networks International - RX,ZZ_contrib TDF,active,NBC_Universal_Networks_International_-_RX
310,NBC Universal Networks International - RX,ZZ_contrib TDF,active,NBC_Universal_Networks_International_-_RX
311,Teleclub - TX,ZZ_contrib TDF,active,Teleclub_-_TX
312,Teleclub - TX,ZZ_contrib TDF,active,Teleclub_-_TX
313,M7 MAIN - TX,ZZ_contrib TDF,active,M7_MAIN_-_TX
314,M7 BKP - TX,ZZ_contrib TDF,active,M7_BKP_-_TX
315,ARQIVA BACKUP - RX,ZZ_contrib TDF,active,ARQIVA_BACKUP_-_RX
316,ARQIVA RXTX,ZZ_contrib TDF,active,ARQIVA_RXTX
317,Eutelsat - TX1,ZZ_contrib TDF,active,Eutelsat_-_TX1
318,Eutelsat DRD Rambouillet - RX,ZZ_contrib TDF,active,Eutelsat_DRD_Rambouillet_-_RX
319,Eutelsat - RX,ZZ_contrib TDF,active,Eutelsat_-_RX
320,FOX - NatGeo - RX,ZZ_contrib TDF,active,FOX_-_NatGeo_-_RX
321,Netgem Ozone - TX,ZZ_contrib TDF,active,Netgem_Ozone_-_TX
322,MEO Telecom Portugal - TX,ZZ_contrib TDF,active,MEO_Telecom_Portugal_-_TX
323,Vodafone - TX,ZZ_contrib TDF,active,Vodafone_-_TX
324,NOWO Cabovisao - TX,ZZ_contrib TDF,active,NOWO_Cabovisao_-_TX
325,NOS Telecom - TX,ZZ_contrib TDF,active,NOS_Telecom_-_TX
326,TMS - Mux POC Tetris Bytel Cherie25 et NRJ12,ZZ_contrib TDF,active,TMS_-_Mux_POC_Tetris_Bytel_Cherie25_et_NRJ12
327,TMS - NatGeo Core - TX,ZZ_contrib TDF,active,TMS_-_NatGeo_Core_-_TX
328,TMS - NatGeo Wild - TX,ZZ_contrib TDF,active,TMS_-_NatGeo_Wild_-_TX
329,TMS - Canal Kids - TX,ZZ_contrib TDF,active,TMS_-_Canal_Kids_-_TX
330,TMS - Canal Docs - TX,ZZ_contrib TDF,active,TMS_-_Canal_Docs_-_TX
331,TMS - BFM Lyon,ZZ_contrib TDF,active,TMS_-_BFM_Lyon
332,TMS - BFM Lyon,ZZ_contrib TDF,active,TMS_-_BFM_Lyon
333,Eutelsat - TX,ZZ_contrib TDF,active,Eutelsat_-_TX
334,Eutelsat - TX,ZZ_contrib TDF,active,Eutelsat_-_TX
335,Overon - TX,ZZ_contrib TDF,active,Overon_-_TX
336,telecom Austria,ZZ_contrib TDF,active,telecom_Austria
337,telecom Austria,ZZ_contrib TDF,active,telecom_Austria
338,Clubbing,ZZ_contrib TDF,active,Clubbing
339,RedBee NL - Voie Backup,ZZ_contrib TDF,active,RedBee_NL_-_Voie_Backup
340,British Telecom Paris 2 - TX,ZZ_contrib TDF,active,British_Telecom_Paris_2_-_TX
341,British Telecom Paris 1 - TX,ZZ_contrib TDF,active,British_Telecom_Paris_1_-_TX
342,POST-Luxembourg,ZZ_contrib TDF,active,POST-Luxembourg
343,Amazon - TX,ZZ_contrib TDF,active,Amazon_-_TX
344,Amazon - TX,ZZ_contrib TDF,active,Amazon_-_TX
345,Amazon - TX,ZZ_contrib TDF,active,Amazon_-_TX
346,Amazon - TX,ZZ_contrib TDF,active,Amazon_-_TX
347,OpenPlayout - RXTX,ZZ_contrib TDF,active,OpenPlayout_-_RXTX
348,REDBEE-NL-NEW-RX,ZZ_contrib TDF,active,REDBEE-NL-NEW-RX
349,ARTE France,ZZ_contrib TDF,active,ARTE_France
350,SFR - TX - voie Main,ZZ_contrib TDF,active,SFR_-_TX_-_voie_Main
351,SFR - TX - voie Backup,ZZ_contrib TDF,active,SFR_-_TX_-_voie_Backup
352,SFR - RX - voie Main,ZZ_contrib TDF,active,SFR_-_RX_-_voie_Main
353,SFR - RX - voie Backup,ZZ_contrib TDF,active,SFR_-_RX_-_voie_Backup
354,Free RX TX,ZZ_contrib TDF,active,Free_RX_TX
355,FTV Roland Garros RX,ZZ_contrib TDF,active,FTV_Roland_Garros_RX
356,MediaChoice,ZZ_contrib TDF,active,MediaChoice
357,MediaLogistika,ZZ_contrib TDF,active,MediaLogistika
358,FTV RG 2021,ZZ_contrib TDF,active,FTV_RG_2021
359,Eutelsat - TX1,ZZ_contrib TDF,active,Eutelsat_-_TX1
360,Eutelsat DRD Rambouillet - RX,ZZ_contrib TDF,active,Eutelsat_DRD_Rambouillet_-_RX
361,Eutelsat - RX,ZZ_contrib TDF,active,Eutelsat_-_RX
362,FTV Roland Garros RX backup,ZZ_contrib TDF,active,FTV_Roland_Garros_RX_backup
363,ZIXI - RX,ZZ_contrib TDF,active,ZIXI_-_RX
364,Canal - TX,ZZ_contrib TDF,active,Canal_-_TX
365,Arqiva -TX,ZZ_contrib TDF,active,Arqiva_-TX
366,LCP-PS - TX,ZZ_contrib TDF,active,LCP-PS_-_TX
367,Advaleme M6 3128,ZZ_contrib TDF,active,Advaleme_M6_3128
368,Advaleme M6 3129,ZZ_contrib TDF,active,Advaleme_M6_3129
369,Advaleme,ZZ_contrib TDF,active,Advaleme
